,tac_agent_5,tac_agent_0,tac_agent_2,tac_agent_3,tac_agent_9,tac_agent_7,tac_agent_1,tac_agent_6,tac_agent_4,tac_agent_8
0,17,18,13,9,12,13,12,13,11,17
1,13,15,13,11,12,12,12,11,10,12
2,13,13,11,12,10,10,14,8,11,12
3,10,10,12,14,16,11,10,13,12,13
4,12,12,8,9,12,15,11,11,10,14
5,14,9,15,16,12,12,15,17,10,10
6,11,8,10,7,11,10,8,10,7,9
7,14,10,9,7,6,11,13,16,14,12
8,13,10,9,12,15,13,10,11,16,12
9,12,13,9,11,10,13,10,11,15,14
10,16,12,13,14,10,13,13,12,12,11
11,13,9,13,15,12,12,11,13,9,12
12,14,13,14,12,17,15,12,13,14,12
13,14,11,14,10,14,12,13,14,15,10
