,tac_agent_0_wm,tac_agent_8,tac_agent_7,tac_agent_5,tac_agent_9,tac_agent_1_wm,tac_agent_2_wm,tac_agent_4_wm,tac_agent_3_wm,tac_agent_6
0,7,20,13,11,10,11,11,6,9,16
1,10,16,14,15,12,7,9,10,8,14
2,0,2,2,2,1,0,4,1,1,1
3,7,12,11,16,11,10,9,7,10,15
4,11,13,10,9,16,4,12,6,9,14
5,7,12,13,15,14,7,8,7,10,14
6,7,8,3,4,2,2,3,5,3,6
7,7,9,10,9,8,7,9,4,4,8
8,4,7,10,4,11,8,7,8,8,11
9,10,12,8,14,9,6,7,7,5,4
10,4,8,7,9,6,5,4,7,4,10
11,13,8,10,6,9,2,9,4,1,11
12,9,16,14,11,14,8,10,6,5,15
13,8,10,12,13,14,8,10,8,8,15
14,7,9,10,5,8,8,7,3,3,11
15,7,9,11,13,9,6,9,5,6,11
16,7,10,8,10,9,6,7,8,6,12
17,9,6,9,6,6,3,7,6,7,3
18,5,9,11,8,9,4,6,6,8,8
19,5,9,10,10,11,7,2,7,4,9
20,5,9,8,8,7,9,4,2,7,11
21,4,9,4,11,6,5,9,7,5,5
22,5,10,9,10,13,5,5,8,7,9
23,8,12,13,9,10,5,7,6,5,13
24,5,8,8,8,11,7,5,6,4,10
25,7,12,10,7,9,7,4,7,8,9
26,4,14,11,12,12,8,7,8,5,7
27,5,12,7,11,7,6,9,10,6,7
28,8,11,13,12,10,7,5,6,8,12
29,8,8,12,10,10,6,3,4,11,9
30,5,7,14,9,8,5,10,5,4,9
31,7,11,12,8,6,8,6,7,8,10
32,4,11,9,9,8,6,5,5,7,11
33,5,12,8,13,11,3,5,6,3,11
34,6,11,8,6,6,3,4,10,4,7
35,6,9,11,8,11,5,3,9,4,7
36,5,10,10,13,5,5,3,5,7,13
37,7,9,9,8,9,5,6,8,7,8
38,6,13,6,10,10,6,5,7,8,11
39,8,9,11,11,10,8,6,9,9,11
40,7,13,9,10,9,5,9,7,8,12
41,7,14,10,12,13,8,7,7,7,10
42,3,9,10,12,8,6,6,6,4,7
43,6,9,13,10,9,3,4,9,8,10
44,6,8,13,11,9,8,7,4,8,12
45,5,11,9,13,8,8,9,9,9,9
46,4,8,12,7,9,8,8,8,5,12
47,7,10,10,8,11,5,6,5,7,5
48,6,10,10,9,8,2,6,5,1,10
49,4,9,7,8,11,6,5,5,6,7
50,8,9,9,9,6,4,4,7,6,7
51,7,4,10,7,10,5,7,6,4,10
52,8,10,12,12,12,9,7,9,7,11
53,11,10,9,9,10,6,7,7,7,12
54,7,11,15,15,11,5,8,7,5,15
55,0,2,2,2,0,0,0,0,0,3
56,5,10,9,8,6,8,6,6,7,13
57,8,15,11,16,11,9,9,12,8,8
58,7,12,12,13,11,5,10,9,7,13
