,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
0,8,6,11,13,7,17,15,9,10,14
1,11,9,8,15,11,16,16,10,19,15
2,8,7,5,7,9,12,10,6,11,8
3,9,8,6,15,4,12,12,8,13,11
4,5,9,12,13,7,13,15,7,12,17
5,9,7,12,14,10,12,14,5,18,14
6,11,10,6,14,5,13,15,10,14,11
7,8,8,4,13,10,10,12,7,12,13
8,8,10,6,16,10,15,11,12,18,17
9,6,9,9,13,6,13,14,9,10,9
10,8,8,8,10,8,9,13,7,12,12
11,3,6,5,6,5,4,4,4,4,7
12,7,10,12,13,13,12,12,10,10,12
13,7,10,6,13,6,11,9,9,10,9
14,9,9,5,10,7,13,10,8,14,17
15,7,6,8,7,5,11,10,6,10,14
16,8,8,10,12,7,9,15,10,15,16
17,8,11,9,11,8,16,12,6,13,15
18,8,9,11,18,8,15,12,6,11,10
19,7,8,8,11,10,11,15,8,13,13
20,8,14,8,12,7,13,14,8,10,12
21,6,5,9,14,5,15,11,8,12,9
22,1,3,2,6,1,4,0,2,2,6
23,8,10,7,14,9,15,14,12,8,14
24,8,6,8,11,6,12,14,8,11,18
25,11,8,7,15,8,10,11,9,15,7
26,7,5,8,5,1,9,4,6,7,5
27,1,1,0,3,2,2,1,0,2,4
28,6,6,9,17,5,10,12,8,12,13
29,10,11,9,14,9,14,15,9,15,14
30,9,9,7,15,11,13,13,8,14,12
31,6,11,6,16,14,11,11,11,15,15
32,9,9,9,17,8,16,14,7,15,12
33,9,8,4,14,8,9,9,7,11,12
34,10,7,8,21,7,19,11,11,12,17
35,12,8,13,15,11,19,13,12,16,15
36,9,5,6,13,7,14,12,8,14,17
37,10,8,11,12,8,16,12,11,16,12
38,9,9,4,16,12,13,13,9,12,20
39,11,5,10,13,8,13,13,4,14,15
40,7,8,12,17,7,15,10,9,13,14
41,5,6,3,7,5,9,9,6,4,7
42,9,8,5,12,10,12,13,13,9,14
43,9,9,8,16,10,13,14,8,15,17
