,tac_agent_0_wm,tac_agent_8,tac_agent_7,tac_agent_5,tac_agent_9,tac_agent_1_wm,tac_agent_2_wm,tac_agent_4_wm,tac_agent_3_wm,tac_agent_6
0,10,19,13,12,12,8,9,7,9,15
1,11,14,13,14,13,10,8,9,8,15
2,0,2,4,0,2,1,4,0,0,1
3,7,11,11,13,11,9,12,9,9,16
4,10,11,14,10,14,3,12,7,10,13
5,8,13,13,14,15,7,9,8,9,11
6,5,6,3,5,6,4,3,3,4,4
7,7,10,9,8,9,6,4,5,8,9
8,6,6,11,7,10,7,9,8,5,9
9,11,10,8,13,8,4,7,7,7,7
10,9,5,8,8,7,6,4,3,7,7
11,9,9,6,6,12,6,8,6,2,9
12,7,16,14,12,14,9,8,6,6,16
13,8,9,12,12,13,9,12,8,8,15
14,2,8,8,7,7,8,8,6,7,10
15,6,9,9,11,13,8,6,6,8,10
16,7,9,11,10,10,7,6,5,6,12
17,5,7,5,9,5,4,8,6,7,6
18,5,9,12,7,8,8,5,3,8,9
19,5,10,9,10,10,5,7,4,5,9
20,3,9,10,8,8,9,3,4,7,9
21,4,7,6,9,6,8,6,7,6,6
22,6,10,6,10,14,6,8,5,5,11
23,7,15,9,12,9,7,7,6,3,13
24,7,8,7,10,11,5,6,4,4,10
25,6,12,11,10,8,10,6,5,4,8
26,5,10,8,14,10,8,6,8,7,12
27,5,12,9,14,10,5,5,5,7,8
28,8,12,11,12,12,6,6,7,7,11
29,4,9,13,11,10,6,4,5,9,10
30,5,8,12,10,9,7,7,5,5,8
31,8,8,10,11,7,7,7,6,7,12
32,5,11,9,9,9,4,8,2,9,9
33,5,11,12,11,9,5,5,5,4,10
34,4,10,10,9,8,3,6,5,4,6
35,6,8,10,6,11,6,5,8,6,7
36,5,6,9,9,10,4,6,6,7,14
37,4,9,8,5,9,7,7,6,9,12
38,8,10,10,11,8,4,6,8,6,11
39,6,13,9,9,11,9,9,6,9,11
40,7,13,8,8,9,8,9,7,9,11
41,8,14,10,11,11,8,6,9,7,11
42,5,10,10,8,9,5,5,5,5,9
43,7,11,8,12,7,5,7,5,8,11
44,6,11,10,12,9,8,8,5,6,11
45,8,7,8,13,11,7,7,8,9,12
46,5,9,12,7,9,7,10,8,7,7
47,6,10,8,9,9,8,3,5,9,7
48,6,9,11,10,5,6,3,5,4,8
49,6,10,7,8,11,7,4,4,3,8
50,8,11,9,9,7,2,4,5,5,9
51,7,6,8,7,9,7,3,6,9,8
52,6,11,12,10,12,8,9,8,7,14
53,10,11,11,9,8,6,9,8,4,12
54,8,11,13,16,10,4,10,9,5,13
55,0,1,1,3,0,0,1,0,0,3
56,6,11,8,9,7,7,6,7,5,12
57,7,12,9,18,14,10,8,9,9,11
58,8,9,12,12,11,9,8,10,7,13
