,tac_agent_5,tac_agent_0,tac_agent_2,tac_agent_3,tac_agent_9,tac_agent_7,tac_agent_1,tac_agent_6,tac_agent_4,tac_agent_8
0,19,18,12,10,13,10,11,14,11,17
1,11,15,13,11,13,13,12,8,12,13
2,14,10,12,12,10,11,14,10,9,12
3,11,11,13,11,18,11,9,13,12,12
4,12,11,12,12,11,12,12,10,8,14
5,15,9,14,13,14,12,15,16,11,11
6,11,7,10,8,12,9,8,10,6,10
7,14,10,11,9,6,10,13,14,13,12
8,13,11,10,11,14,14,11,12,15,10
9,11,14,8,12,12,16,10,9,14,12
10,14,11,14,13,10,12,13,14,13,12
11,16,8,11,16,11,12,10,12,11,12
12,15,12,14,14,16,15,13,11,14,12
13,15,10,13,10,13,14,14,14,14,10
