,tac_agent_1_wm,tac_agent_2_wm,tac_agent_0_wm,tac_agent_5,tac_agent_3_wm,tac_agent_8,tac_agent_7,tac_agent_4_wm,tac_agent_6,tac_agent_9
0,9,6,11,11,9,17,15,8,10,14
1,12,9,10,17,9,14,15,11,18,15
2,8,6,7,11,9,12,10,4,9,7
3,8,7,7,15,6,11,12,8,13,11
4,8,8,12,14,7,13,14,7,11,16
5,9,7,12,13,10,12,15,7,17,13
6,8,7,8,14,5,14,17,12,13,11
7,8,10,6,13,8,11,12,7,11,11
8,10,10,6,16,11,13,14,10,18,15
9,6,10,8,14,7,13,11,9,10,10
10,9,9,12,9,8,12,13,4,11,8
11,6,3,1,7,3,6,5,4,4,9
12,8,11,10,13,9,14,13,8,11,14
13,7,10,7,11,7,10,9,9,12,8
14,8,11,5,10,9,12,10,9,13,15
15,8,8,9,8,6,10,7,6,9,13
16,10,8,9,12,8,9,13,11,17,13
17,11,8,9,11,7,18,13,7,12,13
18,9,9,8,16,8,13,13,7,15,10
19,10,11,7,11,11,10,13,6,13,12
20,8,10,7,14,7,12,14,9,12,13
21,7,4,9,14,7,16,11,6,12,8
22,4,1,1,4,3,5,3,1,3,2
23,6,8,10,15,9,14,15,10,11,13
24,8,5,9,13,7,12,14,6,11,17
25,10,8,6,15,8,11,11,10,14,8
26,4,5,6,7,2,5,6,2,11,9
27,0,0,3,3,0,3,2,0,4,1
28,5,7,8,17,6,12,11,7,11,14
29,10,10,9,13,8,14,15,12,14,15
30,9,8,6,16,10,12,12,8,17,13
31,7,11,8,16,14,11,11,13,13,12
32,8,7,10,15,9,14,16,9,15,13
33,10,9,6,14,6,11,9,5,11,10
34,10,8,11,18,7,18,14,11,11,15
35,11,10,12,15,11,17,14,12,18,14
36,9,6,7,13,8,14,13,6,15,14
37,12,9,13,12,11,14,13,7,13,12
38,11,8,7,18,13,12,12,10,12,14
39,11,7,8,14,8,15,13,5,12,13
40,7,11,9,15,7,14,12,8,15,14
41,4,6,8,7,5,9,6,5,5,6
42,8,10,6,14,11,11,10,12,10,13
43,10,9,10,16,8,14,12,8,14,18
